Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Name,1TT,2TT,3TT,4TT,1PE,2PE,3PE,4PE,1OR,2OR,3OR,1LG,2LG,3LG,4LG,2LE,3LE,4LE,1LA,2LA,3LA,4LA,2GE,3GE,4GE,1EU,2EU,3EU,4EU,2BE,3BE,4BE
Class,TT,TT,TT,TT,PE,PE,PE,PE,OR,OR,OR,LG,LG,LG,LG,LE,LE,LE,LA,LA,LA,LA,GE,GE,GE,EU,EU,EU,EU,BE,BE,BE
 10.4704 - 10.4904,-3.87546,0.10943,-0.0355574,-1.87037,-0.719622,1.75585,-0.80254,-0.624339,-2.98907,1.12213,-0.542408,0.0722027,0.421535,-1.68706,-0.569725,0.494739,-0.732934,-5.7099,0.275926,0.856673,-3.59484,-1.96828,-1.41415,-0.897512,-1.85976,-0.39813,-1.51072,-0.575058,-0.218934,7.39824,-1.23623,-1.35429
 10.4504 - 10.4704,-3.27902,0.143347,-0.966785,0.462333,-0.863693,0.266339,0.778397,-0.980414,-1.43446,-1.29189,0.522558,0.000357587,-0.290996,-3.1729,-0.857712,2.54905,-1.36171,-18.9673,0.895099,-0.013245,-0.937834,-0.412928,0.506979,-2.6075,0.332389,0.930162,-2.4231,0.27011,-0.258604,0.765671,-1.75144,-0.333338
 10.4304 - 10.4504,-2.85629,0.234811,-1.659,-0.632969,-0.617947,2.62914,-1.25842,-1.52232,-0.26986,-2.65001,0.698916,-0.743805,1.0017,-3.48679,-0.125052,1.08216,-1.38791,-17.3962,-0.213423,1.62401,-3.11569,-0.0521781,-2.2081,0.211226,0.0104437,0.624554,-1.66435,-1.41346,-0.12519,-5.43814,-1.72402,-2.04264
 10.4104 - 10.4304,-1.91119,0.290634,-1.21558,-2.42801,-1.0985,2.02681,-1.04039,-0.396345,-4.85146,-1.93905,0.293986,0.136129,-1.59258,-2.94454,-1.06371,2.37448,-0.680056,-19.8238,-0.628052,0.648879,-3.34166,-1.87055,2.17561,-1.74696,-0.792248,0.678774,-3.8794,-0.663863,-0.00179148,0.49716,-1.3022,-0.897704
 10.3904 - 10.4104,-3.23995,1.61724,-0.0418098,0.171277,-0.746034,2.29978,-1.30897,-1.49001,-5.23896,0.233392,-0.208961,-0.856373,-0.13653,-1.48005,-2.76734,1.8391,-0.605421,-6.61888,-1.61353,0.582662,-1.44041,-2.20036,-2.82773,-0.816577,-1.84133,0.164103,-2.6476,-1.43259,0.70698,-3.89549,-3.18879,-2.03099
 10.3704 - 10.3904,0.0496946,1.90183,-1.82429,0.673669,0.0766841,3.74015,-2.0831,-0.618412,-1.36549,1.67249,-1.33453,-0.568847,-0.682378,-3.53762,-1.36522,0.667896,-1.82519,7.07652,-1.18586,-0.118197,-2.12507,-1.34423,-1.32656,-0.810476,-1.17519,0.790818,-1.88918,-0.147379,1.63029,5.36553,-1.4338,-1.61345
 10.3504 - 10.3704,-2.21413,1.15767,-0.663387,-0.397237,-1.65539,3.53475,-0.967992,-0.152146,-4.32448,-0.936224,-1.65289,-1.85363,-0.162287,-3.49179,-0.0513546,1.73626,1.63165,14.198,-2.34585,0.296225,-2.04043,-0.0823308,1.20915,-0.945674,-1.59285,0.437048,-1.58293,-1.56739,0.907587,0.733062,-0.589878,-1.62099
 10.3304 - 10.3504,-0.900913,-0.180135,-2.88565,-0.726421,-0.591456,1.59764,-1.75937,-0.374585,7.51841,4.48323,-8.86886,1.31639,0.214024,-2.70939,0.17423,0.887007,0.749766,22.4728,-0.697581,1.82491,-1.47598,-1.77083,-0.342111,-1.6681,-1.80034,0.938377,-2.90977,0.479698,-0.307257,-1.4828,-0.0254162,-0.917221
 10.3104 - 10.3304,-2.87006,0.212883,-0.963668,-2.23633,0.739429,2.30232,-0.995479,-1.8114,0.453141,-3.36675,-0.837519,-1.04302,-0.771803,-1.91182,-0.925475,1.16264,-1.50878,22.9716,-0.585283,1.10705,-1.56588,-1.94567,-0.395572,-2.9853,-1.84402,0.414951,-1.24767,-0.245367,-0.0174835,1.99397,-1.35381,0.0828513
 10.2904 - 10.3104,-0.315486,0.867251,-1.89773,-0.972439,-1.41492,3.67405,-1.5694,-1.34907,-0.605019,1.12798,-1.57251,0.417797,1.62516,-2.52071,-0.757337,-2.09269,-1.39603,14.2795,-0.179334,-1.04967,-1.65608,-1.25149,-4.8133,-1.85503,-1.63432,1.09835,-0.679059,0.0314772,1.30194,-2.23232,-1.17724,-1.67172
 10.2704 - 10.2904,-1.16496,0.495577,-2.21467,1.03493,-2.0385,1.95649,-1.36146,-0.297921,-3.66787,-2.61549,1.34247,5.57349,3.989,6.28406,4.50092,-2.59133,1.73581,-10.5667,0.458134,1.04845,-1.38724,-0.682346,3.18058,-2.14661,-1.27512,0.905626,-2.47195,-1.19936,0.320086,-4.96866,-1.92847,-1.29014
 10.2504 - 10.2704,-1.5449,1.01471,-1.6349,-0.797595,-0.377896,1.01844,-0.816715,-1.1499,-0.0780166,-6.38433,-1.35905,6.2244,3.02567,8.81302,2.29592,0.250121,2.50596,-37.5023,0.221562,0.144486,-1.40802,-0.800709,-2.72577,-2.59837,-0.722725,0.420902,-2.75203,-0.0531672,0.716707,4.22265,-1.68894,-1.05708
 10.2304 - 10.2504,-2.99278,1.6014,-1.81498,-0.286861,-1.71234,1.6723,-1.75396,-0.658569,-1.99669,-2.54756,0.841733,0.166524,0.849499,1.93703,1.1046,-0.896935,1.79473,-36.8088,-1.2135,0.734122,-1.27044,-2.29788,2.9702,-2.06581,-0.751416,-0.172338,-2.07172,-1.14774,0.447119,-7.55043,-1.71526,-2.05027
 10.2104 - 10.2304,-2.54897,-1.39278,-0.856616,-0.16917,-1.8551,2.23414,-0.0350562,-0.135164,-0.118558,-2.46531,-0.542984,0.737806,-0.647802,1.40328,1.0958,0.0526589,0.795655,-15.9811,-0.282753,1.99381,-0.365327,-2.35285,1.84247,-2.5485,-1.37293,0.520274,-0.605456,-0.911065,3.08284,0.790393,-1.29914,-1.4776
 10.1904 - 10.2104,-3.37179,0.186997,-0.323985,-1.26664,-2.15879,1.6882,-1.51498,-1.2822,-0.553718,-2.67864,-0.025273,-0.208504,-0.724795,-6.1411,0.699952,-0.518841,0.0154328,3.2268,1.43258,2.12014,2.94046,-0.383324,4.2721,-3.7869,-1.60499,0.669059,-2.18024,-3.06205,1.45341,-5.03965,-0.874852,-1.67283
 10.1704 - 10.1904,-4.39861,2.41531,-1.12879,0.304686,-0.072197,0.788498,-2.67439,-0.301166,-1.63779,-2.73826,-0.760143,5.23976,1.60036,5.37369,2.30682,2.25111,2.84679,27.1411,-0.366543,0.911447,-0.645739,-1.04489,6.70279,-4.22783,0.168513,0.555679,-1.4186,-2.84786,1.25098,-1.57742,-1.86223,-1.62617
 10.1504 - 10.1704,-3.30206,2.20108,-1.13259,-1.73767,-3.23578,2.97446,-0.836041,-0.701244,-5.977,-2.80529,-1.02675,4.45246,3.27745,8.7515,4.79665,-0.554069,1.22366,37.1075,-0.218669,0.288851,-0.32142,-0.22348,1.67818,-6.33869,-1.24494,1.55075,-3.16524,-2.49016,2.36294,3.15962,-0.815032,-0.930315
 10.1304 - 10.1504,-3.30362,1.71044,-2.23588,-3.18873,-1.85986,0.406657,-0.171896,0.63922,-4.24157,1.22522,-1.7283,2.95696,0.57458,0.297236,1.50353,0.079681,-0.446286,28.4318,0.206901,1.07016,-2.97732,-2.5404,-0.763911,-3.96908,-0.713829,3.23681,-2.86511,-0.362172,-0.616969,-6.28429,-0.128304,-2.6187
 10.1104 - 10.1304,-4.67004,1.59501,1.16994,-0.410851,-1.87273,1.35023,-1.59361,-0.26669,-1.43541,-6.26531,1.08182,7.01235,3.01536,-3.52621,2.90713,1.84524,-0.777529,9.43237,-0.503352,0.153681,2.01768,-0.556391,5.11692,-4.49322,-1.39235,2.02658,-2.29589,1.20486,-1.71435,3.8516,-0.545344,-2.49892
 10.0904 - 10.1104,-3.50099,3.153,-3.0511,-1.86254,-1.81721,2.65396,-1.46459,-0.732533,-3.36972,-1.64628,-2.13011,4.81102,3.819,-1.38921,0.452949,-1.06248,0.250335,-16.4794,-0.118271,-0.297228,0.0816849,-0.98651,6.74438,-0.468454,-0.384697,0.451418,-2.93499,-0.722254,-2.2406,-1.06123,-0.63605,-1.05413
 10.0704 - 10.0904,-2.70521,1.14357,1.28052,-0.284676,-0.312493,1.59278,-0.885985,-0.967277,-7.62997,-2.40447,-1.11026,5.80144,7.56142,3.07555,2.59995,2.49086,-0.516587,-25.4574,0.442002,-0.0176537,-2.46836,-3.04878,0.647364,-0.994537,-1.81235,0.773688,-3.5859,-0.792607,1.32629,-3.35018,-0.665464,-3.2743
 10.0504 - 10.0704,-1.47719,0.643145,-2.39124,-1.15462,-1.64842,2.1853,-1.22221,-1.90113,-7.12548,-0.133133,-3.72333,10.2232,12.8802,9.07835,6.59647,1.96905,-2.15081,-33.7371,-0.492285,1.68004,-2.04196,-3.12429,2.16777,-0.496229,-4.64591,-0.0152841,-4.57917,0.754809,-2.9227,3.91999,-0.835386,-0.596824
 10.0304 - 10.0504,-1.24751,0.789423,-1.58501,-2.637,-1.54226,1.42562,-0.931248,-1.77643,-5.81486,-4.32985,-1.14766,25.6622,22.5862,30.45,16.3766,2.89627,-2.56144,-23.6052,-0.634487,0.647469,-0.901616,-2.13302,-1.14629,-1.68605,-1.22488,0.101892,-4.92157,-3.31558,-0.819873,0.517149,-0.790463,-0.608443
 10.0104 - 10.0304,-2.52738,1.65611,-3.03015,-1.03188,-2.06076,0.788493,-0.0336704,-2.32374,-3.5653,1.03616,-0.0236155,110.29,114.253,90.6094,98.4737,3.15034,0.14623,-0.915115,-2.10317,1.87866,-3.94691,-1.69879,-0.665144,0.019381,-1.84975,-0.176477,-3.68448,-0.885713,4.84891,6.25075,5.11414,-1.69271
 9.99043 - 10.0104,-1.80745,2.95194,-1.10374,-2.777,-2.64072,0.458503,-2.27572,-0.259932,3.65911,4.62612,2.27074,864.901,669.995,2222,655.603,22.7067,2.28512,96.0289,0.279315,0.858093,-3.34063,-3.1724,1.70613,7.47175,-2.11706,0.575796,-3.98829,1.21261,7.19056,34.6085,27.4591,14.6665
 9.97043 - 9.99043,-2.46873,4.10396,-1.18,-1.08586,-2.41463,1.33775,-1.34645,-0.597919,2.67355,0.562886,3.13649,892.06,708.473,1928.41,697.175,24.3444,2.57092,104.598,0.836296,-0.897776,-2.36458,-0.468443,4.08725,0.908522,10.1841,0.472807,-1.98304,-1.1462,3.35376,26.2892,30.2937,7.44461
 9.95043 - 9.97043,-1.51753,1.0557,-1.30616,-0.346449,-2.20587,2.4113,-3.01309,-0.849482,-1.57693,-0.880412,-2.12556,46.5759,29.8126,569.847,35.3649,2.18914,0.705432,38.5414,1.48512,1.98088,2.43849,2.7213,0.509458,9.7436,12.7258,-0.52839,-1.5631,-1.25889,1.55454,5.45267,1.03429,8.19463
 9.93043 - 9.95043,-3.00041,0.791297,-0.119389,-0.0792825,-2.76923,1.77817,-3.00424,-0.908176,-5.43988,-1.9789,-0.0135747,26.9736,17.3536,70.7179,22.1959,2.15118,-0.852296,24.8269,-0.0323067,1.55745,-1.85173,-0.475037,-1.1528,0.566072,-1.6029,0.460102,-1.46384,-1.94583,0.750012,-2.59533,0.668632,-1.2455
 9.91043 - 9.93043,-0.896383,0.972841,-2.11121,-0.668745,-1.68255,1.77985,-1.29101,-1.73977,-3.8983,-4.65824,-0.659147,212.73,216.894,100.173,142.953,7.36484,1.85216,14.3563,0.143869,-0.451308,-3.76706,-0.957363,1.752,-0.659032,-1.12672,1.57303,-4.6242,-6.03948,-1.82251,-1.09983,11.8185,0.373358
 9.89043 - 9.91043,0.0636185,0.705321,-2.43549,-0.798228,-2.70905,3.03816,-3.27611,0.0540776,-2.16755,1.93409,-1.26708,649.086,488.279,1722.55,499.453,6.53362,0.829404,42.0956,0.140603,-0.0309457,-0.499869,-2.259,-0.265771,4.11659,-2.39275,3.92647,-4.33969,-5.04369,1.53453,17.9199,12.8473,9.70007
 9.87043 - 9.89043,-2.66024,-0.136409,-2.61071,0.682715,-2.52518,1.89288,-0.911853,-0.716866,-1.00945,2.71954,0.432326,778.286,628.946,1589.52,591.326,12.5362,1.9064,42.9039,1.93804,0.982982,-2.73408,-2.11972,-1.26686,2.42091,5.87297,4.93775,-2.75536,3.16397,0.0111904,16.4651,22.8579,10.356
 9.85043 - 9.87043,-2.93002,0.261753,-5.43259,-0.179649,-1.96713,2.9156,-1.76485,-1.77323,-3.63724,-2.30001,1.07163,22.0452,4.43359,332.161,26.1057,-0.291054,-2.03503,-22.339,1.22421,0.713943,-1.63625,-1.6957,0.940996,6.96125,4.73062,1.18583,-3.12031,0.797908,0.1939,0.36186,-0.751021,2.82374
 9.83043 - 9.85043,-4.17155,0.585087,-0.929146,0.619093,-2.57836,-0.139593,-1.66159,-2.79673,-3.93201,-3.13812,-2.38842,5.63202,-3.33344,41.2174,8.397,-0.234869,-0.00340901,-9.1127,-0.609261,0.00792969,-0.0146995,-1.8623,-0.402466,-1.5081,-1.63871,0.808192,-3.10089,-1.66673,3.52749,-0.734953,-0.665587,-1.52673
 9.81043 - 9.83043,-3.51236,1.14334,-2.6005,-0.765427,-2.54022,2.39917,-2.11647,-1.32935,-5.24213,-0.642778,-1.70213,-0.467201,-4.2595,20.5897,1.92192,2.42688,2.0047,10.2647,-0.98149,0.0633741,-0.881517,-1.11532,1.37237,-0.937986,-0.356198,-1.14829,-2.90868,0.937811,0.987179,-3.57838,-2.32136,1.55893
 9.79043 - 9.81043,-2.97282,0.462084,-2.68978,-1.39368,-1.90988,4.84658,-0.655011,0.181277,-3.3293,-2.77968,-0.0328692,3.11743,-3.9373,9.85313,3.12889,1.49062,-0.777565,28.731,-0.531174,2.33059,1.36251,-0.240264,1.85196,-1.79935,-0.988164,0.218505,-2.03058,-1.6304,1.53397,0.161333,-0.262516,1.37286
 9.77043 - 9.79043,-1.16135,0.737853,-0.441652,-2.38412,-1.87715,2.57766,-2.61159,-0.724239,-4.22709,-1.56452,-2.35191,7.27723,2.81934,7.57942,10.0252,1.76272,0.0312579,27.652,-0.187245,0.813509,4.26692,-1.29068,0.981374,-1.28518,-1.67774,-0.372557,-3.57171,-0.379251,0.316127,-0.424192,-1.6228,-0.625054
 9.75043 - 9.77043,-0.578729,-0.0496106,-0.894325,-1.2253,-2.05069,3.65045,1.08249,0.964185,17.9846,32.4248,17.3679,189.139,143.834,46.6223,275.158,5.58138,7.25765,27.3397,-0.50212,0.292272,2.14266,-4.31759,0.0818902,-0.941614,-1.28399,1.38087,-1.46522,-0.567396,1.68712,4.75793,5.02319,3.96829
 9.73043 - 9.75043,-3.51409,0.426888,-2.48642,-0.174382,-3.41987,3.54762,-1.29643,-1.4747,51.1709,72.4481,6.34939,278.068,150.984,42.8255,198.43,3.40184,3.88773,5.61511,0.449893,-0.72064,4.54897,-7.23264,4.05842,0.165529,-0.676117,1.90963,-3.39508,-6.5096,1.62197,10.6257,0.329788,7.95799
 9.71043 - 9.73043,-2.42075,-0.641211,-1.12821,-2.86736,-2.85131,1.40308,-0.889434,-1.05005,-4.85627,1.45451,-2.91694,10.548,3.64084,15.7575,9.76879,3.86948,0.585388,-19.1743,0.709603,-2.56138,0.49519,-6.7179,3.21283,-0.533307,-1.61476,0.258232,-3.34299,-1.83376,1.18711,-0.210231,-1.40911,-0.365832
 9.69043 - 9.71043,-1.88632,0.10258,-1.49194,-0.895383,-2.0801,1.97615,-0.122214,-0.327936,-2.12239,1.19577,-4.4708,6.87161,1.61363,8.32618,7.02252,2.61472,-2.21482,-20.7215,-0.495135,-2.48784,-2.00005,-3.11671,2.19987,0.407152,-0.927657,1.9347,-3.97144,-1.39438,1.12629,-0.757811,-1.40692,-0.19689
 9.67043 - 9.69043,-2.09365,0.183404,-2.55852,-1.23557,-2.99121,1.68188,-2.47036,-2.36504,-4.0753,-1.93152,-4.26356,-2.11048,-2.7749,22.6761,0.0541004,1.98655,-2.5109,-13.1478,1.15207,-2.82421,-2.01655,-2.98764,1.68692,-0.61879,-0.417255,0.854496,-1.68172,2.67335,0.779599,-5.11255,-1.99397,0.349984
 9.65043 - 9.67043,-2.23149,4.22186,-1.5392,-0.132668,-3.18271,1.42742,-1.69263,-0.874389,-5.61249,1.6037,-2.68589,-2.3819,-0.903726,7.35166,-0.0125168,1.70655,-1.06442,-5.04157,-1.17221,-2.55115,-2.73765,-0.696302,2.47825,1.33354,-1.61133,1.3784,-4.09663,-2.45896,4.125,-2.33839,-1.60634,-2.65395
 9.63043 - 9.65043,-2.50532,-2.27935,2.01047,0.1573,-3.01715,1.42378,-2.99965,-0.293673,-3.08268,-2.5908,-3.19635,-1.27932,-0.0430888,11.5996,2.04092,-3.52457,-1.80642,0.608331,-0.795765,-3.19613,-0.477343,-2.20395,-1.97434,2.03702,-0.534627,0.0573965,-3.44134,0.348817,0.631664,0.068406,-5.46564,-0.536792
 9.61043 - 9.63043,-1.98969,-0.651819,14.832,-1.04062,-3.21054,-0.958574,-2.86636,0.01918,-2.86734,-4.91488,-2.89731,9.88709,5.94907,41.1925,14.7166,-4.14039,-1.51888,16.0777,-2.14588,-1.19198,0.490736,-2.83681,0.625183,0.0945901,-0.896235,0.332154,-4.26199,-1.65624,0.814726,-1.61632,-6.21322,-2.06372
 9.59043 - 9.61043,-4.17625,-1.64385,2.24093,-4.71567,-4.09087,3.79424,-2.68097,-0.0966199,-1.78723,-3.08993,-2.54735,17.4609,8.48491,63.919,16.9868,-3.68931,-3.91966,22.6278,-1.56861,-1.51189,-2.4723,-1.48049,-2.08004,0.0940331,-3.31948,-0.287126,-3.16083,0.206715,1.09167,2.48676,-9.64735,-2.15709
 9.57043 - 9.59043,-4.21427,1.1127,-1.94357,-1.86223,-2.11865,5.54325,-0.848763,-2.34919,-1.4511,-0.565107,-1.87233,7.0967,2.22504,49.6471,11.338,-0.579376,-4.93926,20.4756,2.95183,-2.0615,1.34164,-1.1235,-0.0553238,-1.0097,-0.267733,-0.427959,-1.27303,-1.89412,0.832564,-4.84331,-5.02194,-3.2237
 9.55043 - 9.57043,-2.44693,0.494982,-3.13353,-1.91015,-2.88124,2.11451,-3.10211,0.402125,-1.42263,-2.87424,-0.0699532,1.67674,-1.57287,12.4861,0.871604,0.285865,-2.81762,8.71517,0.0464954,-0.833613,-0.235026,0.583222,-1.28439,0.57367,-0.875011,0.0168512,-0.783827,-0.638848,1.73457,-1.83887,5.46854,-1.42452
 9.53043 - 9.55043,-4.15654,1.04754,-4.03154,0.45343,-1.85203,5.53984,-2.55276,-1.60362,-2.79771,-3.29811,-1.99256,-3.29281,-2.15669,4.8591,-0.261753,-1.18563,-1.99869,-3.65838,0.123658,-0.286559,-0.358828,-0.949823,0.351392,0.0154335,-3.46239,1.25723,-2.44778,-0.537871,0.991453,0.0810485,2.47126,2.35301
 9.51043 - 9.53043,-4.18181,-0.00105634,-3.32982,0.147879,2.04065,0.866073,-1.94968,4.19223,-2.49628,-1.04799,-2.09152,-2.2659,-2.27842,6.95464,0.951927,-0.569545,-0.0310256,-14.9481,0.464301,1.57441,-1.44712,-0.912534,-2.02286,0.0620297,-3.5113,1.29084,-2.53689,0.200619,-0.134399,-4.95382,3.96031,-1.44628
 9.49043 - 9.51043,-4.15158,-0.788878,-3.36209,0.0661143,2.0001,1.99137,-2.28229,-3.49345,-1.69445,-2.55811,-1.97518,-2.06981,-2.81325,15.8891,0.905076,0.763079,-1.4653,-26.3609,-0.659132,-0.924677,0.876195,-0.643579,-1.26815,-0.000742281,-1.5975,-0.0867414,-2.25452,-0.663776,1.74992,0.0218541,3.13803,-2.0804
 9.47043 - 9.49043,-3.61448,-0.310664,-2.02357,-0.471825,2.06386,1.77251,-0.913841,-4.15271,-3.91302,-3.04226,-0.441472,-2.35906,-2.63596,3.39387,-0.316259,-1.8366,-0.516853,-17.904,-2.0338,-0.603484,0.486628,-0.663304,-0.870669,-0.881739,-3.28245,0.83048,-2.36393,-1.79946,-0.801955,-1.60351,3.19083,-1.29903
 9.45043 - 9.47043,-5.24906,-0.567193,-1.18284,-0.581739,-0.0655708,3.26758,-1.66392,-2.86366,-4.22213,-2.07974,-2.52953,-0.989395,-2.35064,6.09009,1.81953,0.162625,-0.398333,-3.16744,-0.200241,-0.637827,-0.299197,-1.00059,-2.81594,-0.945042,-3.5875,0.583319,-3.08612,-1.20685,3.89939,0.078228,4.28115,-0.705712
